,overall,Review
91,5,wow clips awesome cant believe purchased super expensive clover clips fabric better very sturdy piecing quilts holding together layers placements sewing also great marking seam allowance sure stitches come even quality exceeded expectations will more
92,4,nice colors general designs can other papers
93,3,know why even know details too small not sure fault buying hoping something different just bad idea know tell except think buy wish own fault not sellers
94,5,literally just copy paste review beads now cause all different type kandi stuff so ya cheap enough right amount kandi bracelet rave lol researching many hours stooped cheap beads know how hell say other than
95,5,so much more efficient atg tape applicator than messing tiny ones replaced all time try buy several refills time save postage hate stop middle project go buy tape tip applicator squatty heavy mug tip ready access silver baby cup
96,5,excellent
97,5,density black ink superb also even flow drip body light easy hold smooth brush lettering
98,5,good price beads elegant expensive fraction price find defect single bead
99,1,terrible
100,5,great set acrylic painting brushes work perfectly
101,4,very useful collection often phrases stamps little long looks great larger cards well typical a2
102,5,great colors
103,5,say thread hooked needle needle must sitting flat surface takes bit pressure pop thread notch top needle tried just holding needle not work works beautifully when needle placed hard surface thread just held taut pushed notch just pops
104,5,work well
105,5,laminate stuff great love all laminated corners now rounded so easy only few months so unsure how will hold so far endured well
106,5,all good early
107,5,adorable needle works pattern
108,5,works great long needle useful room
109,5,absolutely love frisket wish know high school art class check blog more frisket http
110,5,best hooks ever really love hands arthritic comfortable
111,5,yarn hats scarves holidays gifted friends received rave reviews course set very happy quality yarn highly recommend
112,5,perfect
113,5,beware ink lavender
114,5,towels perfect embroidery beautifully quality great gifting finished
115,2,hard catch things
116,5,going hello plate
117,5,work great better price than others pecs pics work
118,5,very happy worked great projects done so far will
119,5,time advertised
120,5,beautiful stamp love hero arts stamps must any scrapbook error maker can not go wrong hero arts
121,5,church function little kiddos great opacity high quality carrying box really helped would buy
122,5,very good very please arrived time
123,5,colors beautiful nice spool brother se400 embroidery applique love array colors
124,4,very pretty good
125,5,great price fast shipping
126,5,second time safe replace rottary cutter love
127,5,wrong so extra how can not enough canvas seems stretched well packaged well
128,5,perfect 5 ruler triangle border
130,5,received no surprises yaaay
131,5,great diy project
132,5,very good very fast thank
133,5,crimping tends get sloppy so provide nice cover faulty work
134,5,always like winding dows not not
135,5,fast shipping great prouct
136,5,works tremendously viking knit excellent results fast shipping
137,5,fast great glue
138,5,great
139,4,opened few times paint gets too thick tiny bumps difficult get rid
140,3,could only get wrapping roll pretty though
141,3,30 plus years collecting trading repairing selling vintage rhinestone austrian crystal jewelry tried all kinds glues when setting stones metal alloy bases settings nothing beats epoxy far holding power difficult messy work may wonderful material leather however found bit disappointing re setting loose stones first glue nozzle dried cured making useless however still better syringe small brush applications both setting underside crystal like dries clear easy work suggest putting small amount tin foil sort implement apply adhesive setting crystals flush applicator each may help ending clogged useless other than issues very decent especially intended primary intention adhesion metal despite manufacturers claim
142,5,top quality fact repositionable makes oh so much more user friendly great wall decals
143,1,amazon vendors contacts every purchaser asking review case asked add story already received exciting ways kit today actually first opportunity sewing kit wanted repair hem so far spent nearly hour struggling cheap contents kit not even begun repair hem job expected take less than 5 minutes needle thread scissors how fortunate recently purchased little sewing kit just occasion kit comes packet assorted needles appears unscrew so back fall held together cheap glue seems leaving red compartment holding needles firmly attached front container making impossible remove needle tried pry apart resulted all needles falling so spent 15 minutes hands knees trying find tiny needles carpeting someone finds bare feet course no idea how many needles there should so know whether found all due coming unglued container will not go back together so now find another container keep needles part thought going get kit there pin cushion provided fits so tightly within kit putting needles will probably result shoved deeply pin cushion making irretrievable next quarter hour struggled thread there appears no obvious start spools thread usually there notch end spool where start thread caught not so picking needle point where end thread seemed resulted shredding much thread finally able loosen start spool several inches thread damaged process there appears plenty left spool still huge waste time materials get approximately 24 thread finally all assorted needles very fine so needle threader came kit managed thread needle wire cheap plastic threader broke process so much now undertook thorough review contents kit found very cheaply scissors extremely poor quality not precision dress shears okay cutting thread suppose would not attempt fabric cared not even sure would paper very smoothly all all wish now empty sewing kit filled quality needles thread accessories will stand more than will toss no longer usable will spend more replace very unsatisfactory
144,5,good quality
145,5,almost every ever want great price super quick shipping
146,5,sculpey sculpturing compound white original sculpey yet like
147,5,great stamps
148,5,collect vintage table cloths purchased repair tiny holes areas thinned age work great nearly invisible back tablecloth washed tablecloths making repairs cool water gentle cycle bondex holds only suggestion applying bondex starched fabric starch may singe little when iron bondex leave iron place several seconds usually can singed starch wish someone would warned beforehand
149,5,love art
150,5,very smooth creamy butter like texture love worth every penny
151,5,arrived fast genuine cricut
152,5,good stuff exactly advertised
153,5,favorite graphic 45 paper considering buying more since so much fun work
154,5,great works well any jar container 4 diameter stack well making triangular wicks
155,5,another incredible die accuquilt perfectly feather designs multiple purposes really hand saver instead traditional scissors
156,5,scents very nice selection can even mix
157,4,thanks
158,3,came small zipclosed bag holder just empty all jump rings bag all mixed took 4 hours sort nice assortment like there several sizes
159,4,great
160,5,great brads work very well framing gun highly recommend makes picture framing work breeze
161,1,not realize how small should read description future suppose
162,5,just
163,1,watched videos followed directions still got badly warped cutting base plates also embossing mat bunched would feed ended tears concerned could happen cutting dies until warping problem solved recommend not buy pain try keep track flipping rotating plates when wanted concentrate projects addition simplest cutting setup required 5 plates returned
164,5,good
165,5,both 24 48 note inside there just 1 inch thick stretchy band put writing instruments actually prefer fiddle two pictures present image simply not case really nice well looks like last long time great travel actually microns various pens etc agree storing things other than colored pencils expect able stick two writing instruments each strap area so wo get stated number way will only get stated numbers put 3 writing instruments each strap area hard anything other than pencils even might not want jam pencils like even like little zipper end button end allows fasten zipper end case so not bouncing around making noise just really neat thoughtful little detail case served well travels would definitely recommend others
166,5,nice tooth watercolor great price
168,5,muy bueno
169,5,pretty strong chain necklaces earrings love little hard flush cutters suspect upgrade cutters
170,5,arrived quickly expected got same pack pictured all included can tell think amount get quality great price mainly extra packaging things sell online give fun pop think works well no complaints yet
171,4,purchased palette back solely empty palette watercolor artist professional paints however exact palettes sold different company empty no half pans costs 15 us 20 us includes 12 half pans paint keep mind 12 half pans elsewhere can run total 10 palette included manufacturer makes artists thought including quality palette like nice touch same quality metal palette schmicke not paint better actually palette larger space upper lower rows allows add additional row 6 half pans without removing tray paint decent quality nice pay would call professional grade not bad remove thumb ring jewelry pliers wire reshaped so would fit thumb better removed star complete lack information regarding lightfastness pigment info even student high quality crafting paint should information especially paint modeling packaging appear like authentic professional watercolor paint palette other than very pleased would buy palette pans great value empty palette alone really nice no other palette wide center space additional pans recommend
172,2,get silicone spray instead epically failed
173,4,perfect scoring cricut
174,1,never ever pictures edited badly spool ribbon artistic brain span work not worth effort please read reviews purchasing not can not return short notice
175,5,lot dies storing magnet sheets sheet protectors ringed binders makes storage so much easier all thin dies stored 21 sheets box maximum box also lot storage space dies lot hand
176,5,perfect appliqus granddaughter clothes crocheted jewelry smaller quantities prevent waste very good yarn works nicely
177,4,fast shipping bottle taped ensure nothing leaked agree another viewer when filling jar runs every where bite needs better pooring lid other than great stuff
178,5,very comfortable crochet
179,5,would
180,5,love gelly plate fun experimenting playing paint stencils making paper junk journals not regret choising would unhappy smaller
181,5,can tell someone cares even throw small sharpening stone
182,5,perfect cutting squares
183,5,great
184,3,just got today wait little bit arrive china other similar round ones same company housweety heavier better quality seems plan mine embellish boxes perhaps pendants seem rather thin there odd seed hulls bag
185,5,love foot lets see im when sew unlike feet come most sewing machines
186,5,great
187,5,etching glass stencils reusable easy handle lot easier than time stencils
188,5,anyone loom knits needs all knitting board easy can adjust built last price right will love
189,5,kit comes high quality thread lots extras beginning experienced great buy offers variety versatility
190,5,love works great looks great great price
191,5,amazing could paint all day long love yummy work
192,5,love little especially light
193,5,terrific cleaner both acrylic rubber stamps dauber top far less wasteful than spray pleasant smell works very well right cleaning noticed stamps readily accept new ink love cleaner
194,5,really work love will deal company
195,5,got kids art projects loved playing
196,5,love all bright colors all crafting
197,5,pretty excellent quality
198,5,work great
199,5,recommended writing hebrew sure enough thrilled pretty artistic letters able form very nice calligraphic writes evenly smoothly easy control line thickness very subtle movements hand price very nice too
200,4,bit hesitant ordering embroidery online typically like test things like major can say very happy perfect super simple there still ton options probably never give best shot funny realize how bad old till started brother se400 smooth quiet table shake when sewing anymore
201,5,very satisfied softens brushes hard paint months seem much take pigment stains brush bristles though just cleans stiffness small container goes long way
202,5,hair worked great
203,5,works well got paid
204,5,love glue great paper when gluing cards extra just rolls like rubber cement without smell mess
205,5,all time great
206,5,work great will buying
207,5,great assortment
208,5,expected nice colors
209,5,always great only sketch pencils will bigger set
210,5,really like so many different colors
211,5,exactly described
212,5,amazing
213,5,top quality kolinsky sable brush water media phenomenal amazon price not get much better may prefer winsor newton series 7 not better brush level matter preference not qualitative distinction along great amazon price comes scary amazon shipping two very expensive brushes shipped across country padded envelope no packing material no reinforcement envelope prevent crushing not even fragile label help ensure gentle handling time puzzled expensive recklessly packed inexpensive sometimes overpacked packaging feedback purported help improve methods appreciate amazon many ways all feedback received sure many many others no improvements starting believe packaging feedback goes virtual shredder serves only therapy frustrated customers vent
214,5,wife loves
215,4,very nice beautiful combo buff very soft great work
216,3,job
217,1,fyi genius allowed all q reviews ratings 6 different products all manufactured aleene company so interested specific all info lumped mess so good luck researching specific want info also star reviews bollocks too all combined so useless idiots
218,5,friend mine loves paint so always get art supplies gifts got brushes along paint quite pleased brushes great quality fantastic any painter
219,5,simple tools work work very well 1 like ease so much also advanced sewer
220,5,very good
221,5,fits perfectly good quality nice perfect transaction thanks so much
222,5,work good
223,5,perfect project
224,5,love
225,5,plant garden work great
226,5,great investment wax melts easily relieves hot kettle melt wax stove
227,5,cute
228,5,fabulous set paints variety colors purchased mine gelli printing wonderful think next time however would purchased larger set includes medium pink
229,5,love all project life photo pocket pages traditional scrapbooking just adore really good quality fast shipping
230,5,100 save date magnets anniversary party bumper sticker hubby car magnet works well there bit waste factor way xyron feeds so more than think works great
231,3,ho hum nice little touches like brush holder ribbon back pocket paper just little smoother than moleskin seems same strathmore series watercolor paper not tried either so will update would not bother not sown nicely like moleskin worried will come apart ever finish
232,5,great shipped fast well packet thanks
233,5,arrived good condition there 100 needles pack great price sharp work wonderfully buy different sizes
234,4,took star like feel wood blender ca explain something tactile maybe only like other blenders better burnisher nice more than blender
235,5,exactly good price
236,5,awesome
237,5,love consistency
238,5,thanks
239,5,very good quality
240,5,lot beads rondelles company quality superb delivery always time early prices ca beat strongly suggest give company try disappoint
241,5,advertised
242,4,great bags bigger than most colors bright
243,4,nice stamp die
244,5,love
245,5,love knotted beautifully perfect addition collection bead count correct fast shipping
246,5,happy vellum tape
247,3,good punch
248,5,love
249,5,best purchased each every works like charm case keeps art kit supplies easy just pull when creative moment great kit
250,5,good
251,4,love wow fine embossing powder
252,5,first corner adorner punch ever love punch creates lovely know anything until watched tutorial youtube there so much can besides making fancy corners can fancy photo mats scrapbook photos rather than simply place plain cardstock mat cards decorative front slip photo greeting folded turn punch get corners fold can also remove guide other pretty circles punches bit tricky not complex watch videos sure punches removable guide limited corners
253,5,great condition love can not wait very useful yes
254,5,high quality pleased
255,5,perfect nevere get plastic ones
256,3,loved picture disappointed quality pencils threw switched prismacolor pencils nice results
257,3,not sharp thought would like handle fits small hands nicely
258,5,looked high low long self striping yarn prism rainbow way fit bill surprised how soft easy work get too ratty roving when pulled work start
259,5,works great coloring silicone limited found more than adequate would nice sold just individual tubs only around 30 bucks sampler burdensome buy all excess also follow instructions little dab will perfectly correct
260,5,perfect
261,2,etching cream listed pretty fair price when arrived though opened bottle took cover there no foil seal top never purchased so not completely sure whether supposed seal not really surprise bottle also not filled top also not expected not sure supposed all way full not chance try so far kind disappointed picture attached great quality picture how bottle etching cream arrived
262,5,beading tray perfect every way caps should tight so not open spill beads all solution stick popsicle sticks pegboard space along tweezers beading voila complete kit just pop caps open eloise would say absolutely love love love
263,5,clover awl great makes hole not too big can working fabric weaving crochet holes created great freeform fiber art
264,5,lovely thread consistent sew perfect material
265,5,love all cricut products
266,4,good hand stitching needles basic
267,3,edit looks like changed instructions filling better than traveling watercolorist flat wash brush elsewhere when opened package took pens cap hook largest brush broke since round prone rolling around work surface usually snap cap onto back however caps even snap onto back brush fit too loose slide end so pens just keep rolling away working painting not good all also compared other pentel derwent waterbrush seem extremely hard squeeze refill first time when unscrewed two brushes only black plug other two not black plug squeeze thing actually extremely easy refill like pentel took less than 5 seconds took around 1 minutes irritated lot plus pens long usually any jars damn tall house highly doubt when traveling too thing really like how brush mimics spring real brush end brush glued sponge thing like largest brush spring mechanism broken synthetic brush ends attached sponge thus not effect can work around just better spring handy sure lot can improved
268,5,works really well making jewelry
269,4,loved all colors each spool only completes medium sized sewing project
270,5,stickers planner fun addition layouts sticky well never problem
271,5,keeps brushes all nice organized several acrylic oil brushes starter brushes brushes finish brushes both mediums
272,5,perfect
273,5,fun set can enjoy copic set relatively low price copics ca three blending thing so many seem enjoy want shading get neutral grey n4 lot various colors shadowing personally think looks bit more realistic than three tone method also really should experiment various colors set each other layering another will find whole lot more colors than seems especially switching layer changes resulting slightly there any flesh tones like people brown actually quite useless darker skin tones humans too red around internet tips good buy skin colors depends people would like depict course there tips all youtube best teaching how handle copics hints copics flat avoid leaking too much usually cap there seem way totally prevent sometimes drawing coloring when leak always cap clean alcohol going get problem where cap either wo open wo close squirt onto drawing preferably try another paper first solve problem taking caps both ends letting lie flat maybe minute seems regulate every time putting information see online benefits copics touted all drawbacks never mentioned though when google specific problem leaking cap thing soon find far only person issue love copic think way blend way go smoothly paper makes issues forward reusing many years refills however think ought also mention not only good there actually compatible other good prismacolor also love love get messy caps although also get refills mixing two kinds probably others though gone there yet not only cost effective gets different kinds colors prismacolor brighter more vibrant than copics blend together smoothly super well can also layer colored pencils top copics beautiful effects youtube too so really spend 600 complete copics either all time though may want too got set six other copics plus six prismacolor there no ca get several shades 24 include several flesh tones greys both sets no not professional very experienced artist so right can work without spend good luck
274,5,c plate great embossing folders cuttlebug especially all folders great projects like making photos etc great fun
275,5,ok never able something like microscope binoculars things always see reflections eyelashes distracts trying
276,3,very good consistent guidelines paper rough not fun practice mainly blank papers
277,1,horribly toxic stuff received gift work very well any case when toddler figured how get art cabinet took bite realized not say package no information pentel website looked material safety data sheet said small amounts swallowed not harmful get medical attention large amounts swallowed read ingredients paraffin ethyl acetate dbp dibutyl phthalate horrifying worked hard keep phthalates typically pvc products fragrances etc house carcinogenic endocrine disrupting cause reproductive harm just reading european union only allows phthalates products concentration wish us regulations would protect children disgusting
278,5,perfect
279,5,very strong tape says will
280,5,exactly described delivered time thread colors vibrant strong no issues breakage fraying packaged very well includes code chart would would recommend others thrilled beautiful range colors
281,5,very nice acrylics
282,5,easy perfect
283,3,expecting stronger elastic stuff super stretchy can barely hold weight slightly heavy bead also came 7 rolls instead big spool string disappointed overall
284,5,love
285,5,decorative papers so dainty ideal many endeavors
286,5,nice art desk storage space adjustable table daughter enjoys great drawing desk school work
287,5,like option flip other side tip sure laying flat
288,5,works great easy will when
289,3,work expected
290,5,lovely honey amber beads 6mm 8mm perfect project
291,5,love yarn received only yesterday not monday local courier thanks lot
292,5,very nice price amount cordage price perfect projects arrived super fast wait long start making things definitely back more when run
293,5,hoops amazing very sturdy must pe770 arrived just promised very happy
294,5,love shiny things
295,5,pretty fun holds well wash
296,4,great applicator distress inks handle easy small hand hold making perfect application
297,5,greatest things since sliced bread so simple yet work perfectly don know how without
298,5,forever throwing away partially glue bottles will give variety uses without buy larger bottles great merchandising aleene
299,5,great fast delivery
300,5,exactly says will fix charging cord held like new
301,5,works greast easy applique
302,5,works wrinkle paper apply flat brush great will always buy
303,5,recommend precision very good sewing
304,5,girls really enjoy paper works wonderfully pastels thanks service
305,5,just beginning buying dies big shot great die collection small can many ways good solid construction
306,5,2nd roll works very well no problems roll lasted year embroider every day
307,5,great soap making
308,5,little went long way quality paint great value
309,5,great variety
310,5,very lovely exactly advertised only thing note careful when first unraveling will spring open surprise mine certainly say there good yards
311,5,got mail today so excited how neat going perfect when pick fabrics quilts
312,5,very happy
313,3,beads beautiful colors reek paint presently spread cookie sheet outside get rid odor
314,5,love beautiful colors sharpens very well
315,5,books great
316,5,since own hand cards go perfectly flowers birds most cards makes receiver smile see ladybugs
317,5,purchased daughter true always trouble traditional scissors loves good set scissors work every time can call own scissors very well nice grip
318,5,good quality great price
319,4,very pretty
320,5,very good
321,5,very fine perfect coating inside glass ornaments very pretty ornaments plan give away gifts
322,5,completely positive experience great
323,5,wife loved yarn knitted afaghans grandchildren
324,5,works great
325,5,love end seam ripper designed let get rid loose threads youve undone seam
326,5,tiny dots help mount tiny living locket keep shifting also putting business display bit difficult remove without turning ball pointy tweezers
327,5,love quick ship
328,3,very thin iron really too large hand work would good heat press
329,5,very nice
330,5,very good just expected described
331,5,could not find yarn stores so thank im very pleased
332,5,stuff cool iphone cable go like bottles water always pulling away lighting jack white wrap around cord now can hang just stays solid also incense holder so creative ca stop making rubber stuff house
333,5,love all julie nutting line especially fun since there large area dress perfect paper piecing mixed media techniques plus just elegant style reminds audrey hepburn
334,5,very handy variety tools around frequent small jobs
335,3,fabric good expected terrible either took 20 days get even blow away wo purchasing fabric amazon
336,5,love
337,1,very seldom rate things star must gotten lemons other reviews state will not punch even paper ca squeeze any harder part not aligned properly unable see waste resources time contribution local landfill
338,5,thes another person extremely happy when arrived very high quality great price very useful any crafts other art projects
339,5,also love glass mat very easy wash adhesive paints gesso etc surface also provides excellent cutting mat getting very accurate paper cuts however just like rotary blade quilter cutting mat accuracy cuts depends how well line ruler cutting guides flat steel ruler strip cork back side prevent paper slipping low tack tape like painter tape keep paper slipping sp knife mat divided 4 quadrants so get variety cutting guides lower two quadrants there cutting guidelines two sizes upper left quadrant getting grid marks mat include increments however entire mat ruler guides edge all four sides offers guidelines 1 other words get guidelines increments very labor intensive method cutting paper not satisfied quality accuracy paper cuts other paper cutters mind extra time involved will provide very accurate cuts
340,5,purchased 4 keep mini inks organized love
341,4,watching several youtube videos mixed media artist protect work surface seeing how easy wipe reuse decided give try so far so good
342,5,love realize how much acme roll going blinging everything
343,5,would recommend anyone abundant quantity competitive price good texture
344,5,box display box mahjong set wanted kind special set so plain wood box decorated classic asian style dragons glow dark going glowing jade feel so set would more impressive will post images image area bottom right box recommend box can anything
345,5,perfect just wanted
346,5,foam mat there much say lol works got go needle felting kit
347,3,price good more want brighter stronger all already not sure would good price job
348,4,nice would give 5 stars shipping speed bit faster
349,5,wanted thank
350,4,replace art box nothing more than wooden box compartments aaron brothers definitely sturdier specifically hold drawing stuff opposed painting nice thing art bin not only many compartments pens pencils etc also space drawing pads wish pencil tip protectors like other art bin products can always put foam compartments tray comes completely access area also there long trough just behind latches can hold full 12 ruler tray top full 14 x 11 1 deep happy would recommend
351,4,wonderful colors nice hole so can easily thread cord gentle clay beads drop hit hard surface little stones will come get wet always remove jewelry when sports sleeping like bead center stone when making bracelets
352,5,keep dies making organized work great all well keeps things getting lost second buy
353,5,perfect quality wood earrings crafted amazing yes should take sandpaper surface glue bead whatever
354,5,love
355,5,great stickers great price
356,5,just paint wanted great colors fun toplaly
357,5,love
358,5,great price great
359,5,especially great applique quilting easy transport suitcase buy plug adapter computer cord so can plug socket tracing designs onto dresses embroidery well time saver slim adjustable light tough finger
360,5,love love love liquitex paints almost exclusively basics grade paint technically student grade paint find coverage light fastness excellent especially price price 8oz tubes literally local art charges great buy generally speaking ca go wrong liquitex
361,4,cutters exactly described small enough making earrings polymer clay case broken emailed seller never responded
362,5,fits old 1936 foot pedal like new plugs snugly power port ideally power wires would bit more flexible very happy
363,5,just expected
364,3,really like shape corner punch punch thicker paper even scrapbookibg kind stock even too thick wo punch
365,5,addi turbo rockets circular needles favorite circular needles metal plastic bamboo circular needles addi turbos go circular needle choice
366,5,tutus little grand daughter love extra
367,4,good cost value
368,5,augment necklaces add lot sparkle pearls many other gemstones amount get price ca beat
369,1,joke however cable needles lol
370,5,love glue many projects recent ones diy wedding preparations went well mostly thanks glue show rhinestones glass decorations plastic paper metal name
371,5,love beautiful detailed flower
372,5,love exactly shown
373,2,smaller looks
374,5,perfect die rag quilts
375,5,great pins
376,4,will good embossing
377,5,great price
378,3,granddaughter thought pattern would printed canvas not deign so could follow pattern not best quality
379,5,great
380,5,love
381,5,exactly described
382,4,really love idea stuff really streaky tried several different applicators also difficult not run ink get picture dry straight without rolls paper glues well love shine hardens paper giving great finish
383,4,smaller than looked photo
384,5,good mat easy wipe fibers also
385,5,love redheart soft yarn just
386,5,come prime so took just four days come love pots kinda hard open times seems paint can top stick 18 pots keep paint moist weeks just like original paint pots come paint number paintings so love plus cheap best part can also other art things like tiny beads nail art etc there 6 pots connected each other row three rows come package fun
387,5,great value high quality short handled watercolor brushes perfect traveling plein air art work set includes flat round brushes unlike many other sets
388,3,dryer ate zipper handle favorite sweater could find way parts kit work there millions zippers today
389,5,love
390,5,bobbins brother sewing
391,5,best price found
392,5,nice variety sponges watercolor textures arrived quickly everything expected
393,5,fine flexible strong smooth without any burrs slides even smallest beads
394,3,update f hook surprised there set there no somewhat disturbing hate change hooks adjust gauge hooks us standard included e g h j 7 mm other 3 not calibrated us standards most us patterns certainly 3 useable change gauge slightly still annoying love quality hooks case useable modifying rating checked other sets hooks all ones checked same issue suggests all same company china find best price point more expensive than others excellent checked carefully bad experiences past hooks shafts smooth correctly sized very accurate gauge lacis plastic case little stinky couple hours aired say almost identical clover grip slightly different shape only slightly china however answer questions company usa very attentive got email soon would preferred instead nit include 7 g h seem somewhat harder find than others
395,5,nice bead thing like good
397,5,felter nice selection colors each baggie wisp roving long palm so not lot each gives good pallette details
398,5,cute
399,5,love new scoring stylus
400,5,quality wide range fabrics
401,5,arrived promised good instructions beginners
402,4,not exactly wanted will fit other quilts planning acquisition phase
403,5,pleased
404,4,nice find pink case not breakable plastic material makes good case course decided crochet like hooks clippers measuring tape only thing like yellow bottom trim ugly colors just always like fabric dirty
405,2,super linty thread price might well switch 5000 yard cones decent thread type definitly not worth frustration
406,3,iron melts top
